,KEW.PS-3/BAKERI/360,BAKERI-GLUCOSE SYRUP,1
,KEW.PS-3/BAKERI/361,CHICKEN FLOSS,
,KEW.PS-3/BAKERI/362,BUNGA KANTAN ,
,KEW.PS-3/BAKERI/363,AJINOMOTO,
,KEW.PS-3/BAKERI/364,IKAN BILIS ,
,KEW.PS-3/BAKERI/365,KULIT LIMAU KERING ,1
,KEW.PS-3/BAKERI/366,SIRAP ROSE ,1
,KEW.PS-3/BAKERI/367,RAINBOW SPRINKLE ,1
,KEW.PS-3/BAKERI/368,MIX FRUIT ,1
,KEW.PS-3/BAKERI/369,MARSHMELLOW,1
,KEW.PS-3/BAKERI/370,SOS PASTA ( MUSHROOM ),1
,KEW.PS-3/BAKERI/371,MARZIPAN ,1
,KEW.PS-3/BAKERI/372,BAKERI- MANIK ,1
,KEW.PS-3/BAKERI/373,SOS BBQ ,
,KEW.PS-3/BAKERI/374,DAUN PUCUK UBI ,
,KEW.PS-3/BAKERI/375,BAKERI-GOLDEN SYRUP ,1
,KEW.PS-3/BAKERI/376,DRY MINT ,
,KEW.PS-3/BAKERI/377,DRIED FRUIT ,
,KEW.PS-3/BAKERI/378,SERBUK BASIL ,
,KEW.PS-3/BAKERI/379,LAKSA ,
,KEW.PS-3/BAKERI/380,BAKERI-HEAVY CREAM ,1
,KEW.PS-3/BAKERI/381,DAUN MINT ( FRESH ) ,1
,KEW.PS-3/BAKERI/382,TOMATO CERI ,1
,KEW.PS-3/BAKERI/383 ,OREGANO DRIED ,1
,KEW.PS-3/BAKERI/384 ,SERBUK CHEESE NACHOS ,1
,KEW.PS-3/BAKERI/385,UBI CEKUR ,
,KEW.PS-3/BAKERI/386,DAUN CEKUR,
,KEW.PS-3/BAKERI/387,JANTUNG PISANG ,
,KEW.PS-3/BAKERI/388,DAUN PUCUK MANIS ,
,KEW.PS-3/BAKERI/389,SAYUR BENDI ,
,KEW.PS-3/BAKERI/390 ,PUCUK BETIK ,
,KEW.PS-3/BAKERI/391,SOUR CREAM ,1
,KEW.PS-3/BAKERI/392,BAKERI-TEPUNG PASTRI ,
,KEW.PS-3/BAKERI/393,BAKERI-INTI KELADI ,
,KEW.PS-3/BAKERI/394,BAKERI-INSTANT CUP CAKE ,1
,KEW.PS-3/BAKERI/395,BAKERI-HAZELNUT PASTE,1
,KEW.PS-3/BAKERI/396,BAKERI-PEWARNA LEMON,1
,KEW.PS-3/BAKERI/397,BAKERI-PEWARNA GLITER SILVER,1
,KEW.PS-3/BAKERI/398,BAKERI-PEWARNA GLITER GOLDEN,1
,KEW.PS-3/BAKERI/399,BAKERI-PEWARNA COKLAT,1
,KEW.PS-3/BAKERI/400,KIUB PATI IKAN BILIS,
,KEW.PS-3/BAKERI/401,BLACK OLIVE,1
,KEW.PS-3/BAKERI/402,BAKERI-OIL CANDY,1
,KEW.PS-3/BAKERI/403,JUS LEMON,1
,KEW.PS-3/BAKERI/404,BAKERI-FILLING MANGO,1
,KEW.PS-3/BAKERI/405,BAKERI-FILLING RASBERRY,1
,KEW.PS-3/BAKERI/406,BAWANG GORENG,1
,KEW.PS-3/BAKERI/407,BAKERI-COIN CHOCOLATE MILK,1
,KEW.PS-3/BAKERI/408,BAKERI-CHOCOLATE M&M,1
,KEW.PS-3/BAKERI/409,SAYUR- CILI API,
,KEW.PS-3/BAKERI/410,BAKERI-CHEEDAR CHEESE,1
,KEW.PS-3/BAKERI/411,SAYUR-APALENO,
,KEW.PS-3/BAKERI/412,SERBUK BUAH PALA,
,KEW.PS-3/BAKERI/413,BAKERI-BISKUT DIGESTIVE,
,KEW.PS-3/BAKERI/414,BAKERI-FRESH CREAM,
,KEW.PS-3/BAKERI/415,SOS IKAN,
,KEW.PS-3/BAKERI/416,BAKERI-MAPPLE SYRUP,1
,KEW.PS-3/BAKERI/417,KEK-CHIFFON SPONGE BULAT,1
,KEW.PS-3/BAKERI/418,SUHUN,
,KEW.PS-3/BAKERI/419,RICE PAPER,
,KEW.PS-3/BAKERI/420,BAKERI-BISKUT CREAM CRACKER,
,KEW.PS-3/BAKERI/421,CRAB STICK,
,KEW.PS-3/BAKERI/422,SPICY CHICKEN STICK,
,KEW.PS-3/BAKERI/423,BAKERI-GUMPASTE DAIRY RED,
,KEW.PS-3/BAKERI/424,MACARONI,1
,KEW.PS-3/BAKERI/425,ITALIAN SEASONING,1
,KEW.PS-3/BAKERI/426,BAKERI-CHOCOLATE STRAWBERRY FLAVOURED,
,KEW.PS-3/BAKERI/427,SAYUR-TERUNG,
,KEW.PS-3/BAKERI/428,GARLIC POWDER,
,KEW.PS-3/BAKERI/429,ONION POWDER,
